ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
208192_at	0.107	0.00000483	6.250409	-3.6	2.492615		
204117_at	0.856	0.00007686	4.989028	-3.78	0.6783	PREP	prolyl endopeptidase
205246_at	1	0.00026849	4.440444	-3.87	1.1993345	PEX13	peroxisomal biogenesis factor 13
213608_s_at	1	0.00039051	4.277521	-3.9	1.1515819	SRRD	SRR1 domain containing
204790_at	1	0.00050216	-4.168346	-3.93	-1.5903312	SMAD7	SMAD family member 7
202694_at	1	0.00052181	4.15169	-3.93	1.4207092	STK17A	serine/threonine kinase 17a
216874_at	1	0.00066402	4.047159	-3.95	1.3308052	LOC100505498	uncharacterized LOC100505498
215879_at	1	0.00088352	3.923292	-3.98	1.6804171	ITGB1	integrin subunit beta 1
209546_s_at	1	0.00092914	3.90145	-3.98	1.2952097	APOL1	apolipoprotein L1
203465_at	1	0.00102657	3.858183	-3.99	0.8019337	MRPL19	mitochondrial ribosomal protein L19
220941_s_at	1	0.00110732	3.825318	-4	0.5296596	C21orf91	chromosome 21 open reading frame 91
215644_at	1	0.00125082	-3.772403	-4.01	-1.1887549	ZNF518A	zinc finger protein 518A
203561_at	1	0.0013134	-3.751191	-4.01	-1.4624279	FCGR2A	Fc fragment of IgG receptor IIa
206991_s_at	1	0.00132824	3.746309	-4.01	1.4040258	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)
212859_x_at	1	0.00147263	3.701446	-4.02	0.9458189	MT1E	metallothionein 1E
219243_at	1	0.0016231	3.659118	-4.03	1.1076343	GIMAP4	GTPase, IMAP family member 4
204822_at	1	0.00169509	3.640225	-4.03	1.1200044	TTK	TTK protein kinase
202599_s_at	1	0.00182959	-3.606963	-4.04	-0.5543546	NRIP1	nuclear receptor interacting protein 1
202365_at	1	0.00195288	-3.578534	-4.05	-0.8162579	UNC119B	unc-119 lipid binding chaperone B
204825_at	1	0.0020264	3.562415	-4.05	1.7658997	MELK	maternal embryonic leucine zipper kinase
217853_at	1	0.00210321	-3.546178	-4.06	-2.0965781	TNS3	tensin 3
206513_at	1	0.00211143	3.544475	-4.06	1.3892339	AIM2	absent in melanoma 2
218859_s_at	1	0.0022039	3.52576	-4.06	0.6574611	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog
212404_s_at	1	0.00230953	3.505306	-4.06	0.972257	UBE3B	ubiquitin protein ligase E3B
204537_s_at	1	0.00236271	3.495356	-4.07	1.4893348	MIR452///MIR224///GABRE	microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit
211848_s_at	1	0.00237109	-3.493809	-4.07	-1.13861	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7
214406_s_at	1	0.00246997	-3.475941	-4.07	-0.8190393	SLC7A4	solute carrier family 7 member 4
202269_x_at	1	0.00278789	3.422926	-4.08	0.7914148	GBP1	guanylate binding protein 1
219211_at	1	0.00279527	3.421768	-4.08	2.2331726	USP18	ubiquitin specific peptidase 18
201772_at	1	0.00294425	-3.398998	-4.09	-0.4581013	AZIN1	antizyme inhibitor 1
