Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-7.7,0.0,0.0
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-7.3,8.005,1.605
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-7.0,3.176,1.564
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-6.8,64.824,60.464
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-6.8,82.065,77.887
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-6.7,59.985,56.311
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-6.6,85.007,82.306
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-6.4,65.494,60.779
1yvl_minimized_2353_uff_E=472.01_uff_E=471.80,-6.3,58.998,56.368
1yvl_minimized_3663_uff_E=1121.67,-10.2,0.0,0.0
1yvl_minimized_3663_uff_E=1121.67,-9.1,33.689,32.286
1yvl_minimized_3663_uff_E=1121.67,-9.1,34.177,32.276
1yvl_minimized_3663_uff_E=1121.67,-8.9,55.498,52.089
1yvl_minimized_3663_uff_E=1121.67,-8.5,56.425,52.802
1yvl_minimized_3663_uff_E=1121.67,-8.3,52.536,49.82
1yvl_minimized_3663_uff_E=1121.67,-8.3,56.4,55.343
1yvl_minimized_3663_uff_E=1121.67,-8.1,34.207,32.453
1yvl_minimized_3663_uff_E=1121.67,-8.1,33.525,30.361
1yvl_minimized_4463_uff_E=1805.99,-6.8,0.0,0.0
1yvl_minimized_4463_uff_E=1805.99,-6.7,15.361,14.9
1yvl_minimized_4463_uff_E=1805.99,-6.3,58.441,56.989
1yvl_minimized_4463_uff_E=1805.99,-6.2,78.233,76.002
1yvl_minimized_4463_uff_E=1805.99,-6.2,58.338,56.86
1yvl_minimized_4463_uff_E=1805.99,-6.2,23.661,20.904
1yvl_minimized_4463_uff_E=1805.99,-6.1,57.148,54.793
1yvl_minimized_4463_uff_E=1805.99,-6.1,57.615,55.338
1yvl_minimized_4463_uff_E=1805.99,-6.0,16.038,14.634
1yvl_minimized_5625_uff_E=1168.32,-8.2,0.0,0.0
1yvl_minimized_5625_uff_E=1168.32,-7.6,26.919,20.765
1yvl_minimized_5625_uff_E=1168.32,-7.4,26.65,20.638
1yvl_minimized_5625_uff_E=1168.32,-7.2,11.986,7.272
1yvl_minimized_5625_uff_E=1168.32,-7.0,23.168,18.166
1yvl_minimized_5625_uff_E=1168.32,-6.9,20.837,17.626
1yvl_minimized_5625_uff_E=1168.32,-6.9,27.366,23.287
1yvl_minimized_5625_uff_E=1168.32,-6.8,49.65,44.75
1yvl_minimized_5625_uff_E=1168.32,-6.7,53.32,51.048
1yvl_minimized_10225_uff_E=180.68,-6.7,0.0,0.0
1yvl_minimized_10225_uff_E=180.68,-6.7,5.817,1.644
1yvl_minimized_10225_uff_E=180.68,-6.6,3.986,1.41
1yvl_minimized_10225_uff_E=180.68,-6.4,5.942,3.336
1yvl_minimized_10225_uff_E=180.68,-6.3,4.496,1.822
1yvl_minimized_10225_uff_E=180.68,-6.2,4.328,1.231
1yvl_minimized_10225_uff_E=180.68,-6.1,34.378,31.733
1yvl_minimized_10225_uff_E=180.68,-6.1,6.722,3.489
1yvl_minimized_10225_uff_E=180.68,-6.0,4.467,1.607
1yvl_minimized_14982_uff_E=1189.01,-8.9,0.0,0.0
1yvl_minimized_14982_uff_E=1189.01,-8.7,33.906,28.756
1yvl_minimized_14982_uff_E=1189.01,-8.6,36.863,33.159
1yvl_minimized_14982_uff_E=1189.01,-8.5,37.873,33.037
1yvl_minimized_14982_uff_E=1189.01,-8.5,27.878,21.734
1yvl_minimized_14982_uff_E=1189.01,-8.5,34.938,30.107
1yvl_minimized_14982_uff_E=1189.01,-8.4,52.799,47.727
1yvl_minimized_14982_uff_E=1189.01,-8.4,53.034,49.128
1yvl_minimized_14982_uff_E=1189.01,-8.4,35.787,26.543
1yvl_minimized_35370_uff_E=421.42,-6.4,0.0,0.0
1yvl_minimized_35370_uff_E=421.42,-6.2,15.231,13.464
1yvl_minimized_35370_uff_E=421.42,-6.0,12.724,11.793
1yvl_minimized_35370_uff_E=421.42,-6.0,56.952,54.495
1yvl_minimized_35370_uff_E=421.42,-5.8,74.382,72.548
1yvl_minimized_35370_uff_E=421.42,-5.8,79.231,76.888
1yvl_minimized_35370_uff_E=421.42,-5.8,18.292,17.309
1yvl_minimized_35370_uff_E=421.42,-5.7,45.501,43.995
1yvl_minimized_35370_uff_E=421.42,-5.6,24.084,22.255
1yvl_minimized_60825_uff_E=215.22,-5.9,0.0,0.0
