Ligand,Binding Affinity,rmsd/ub, rmsd/lb
5cir_minimized_10071695_uff_E=389.38,-6.9,0.0,0.0
5cir_minimized_10071695_uff_E=389.38,-6.9,12.705,4.513
5cir_minimized_10071695_uff_E=389.38,-6.8,9.742,7.103
5cir_minimized_10071695_uff_E=389.38,-6.8,4.899,2.492
5cir_minimized_10071695_uff_E=389.38,-6.7,5.913,2.98
5cir_minimized_10071695_uff_E=389.38,-6.6,30.232,25.141
5cir_minimized_10071695_uff_E=389.38,-6.6,10.15,6.413
5cir_minimized_10071695_uff_E=389.38,-6.6,29.007,25.08
5cir_minimized_10071695_uff_E=389.38,-6.5,10.664,7.851
5cir_minimized_10225_uff_E=180.68,-6.8,0.0,0.0
5cir_minimized_10225_uff_E=180.68,-6.5,4.322,1.058
5cir_minimized_10225_uff_E=180.68,-6.3,42.246,40.146
5cir_minimized_10225_uff_E=180.68,-6.3,3.862,0.894
5cir_minimized_10225_uff_E=180.68,-6.2,45.745,43.255
5cir_minimized_10225_uff_E=180.68,-6.1,45.391,43.572
5cir_minimized_10225_uff_E=180.68,-6.0,43.598,41.13
5cir_minimized_10225_uff_E=180.68,-6.0,45.559,42.908
5cir_minimized_10225_uff_E=180.68,-6.0,45.731,43.622
5cir_minimized_10455912_uff_E=637.99,-9.2,0.0,0.0
5cir_minimized_10455912_uff_E=637.99,-8.9,10.396,5.849
5cir_minimized_10455912_uff_E=637.99,-8.7,10.834,5.828
5cir_minimized_10455912_uff_E=637.99,-8.3,10.582,5.867
5cir_minimized_10455912_uff_E=637.99,-8.3,11.24,6.331
5cir_minimized_10455912_uff_E=637.99,-8.0,10.263,4.96
5cir_minimized_10455912_uff_E=637.99,-7.9,9.92,3.336
5cir_minimized_10455912_uff_E=637.99,-7.8,8.665,3.933
5cir_minimized_10455912_uff_E=637.99,-7.8,13.539,8.723
5cir_minimized_108130_uff_E=1039.75,-6.3,0.0,0.0
5cir_minimized_108130_uff_E=1039.75,-6.0,7.088,4.227
5cir_minimized_108130_uff_E=1039.75,-5.9,27.799,24.195
5cir_minimized_108130_uff_E=1039.75,-5.8,6.19,3.094
5cir_minimized_108130_uff_E=1039.75,-5.7,6.571,2.522
5cir_minimized_108130_uff_E=1039.75,-5.7,6.795,3.547
5cir_minimized_108130_uff_E=1039.75,-5.7,6.98,3.449
5cir_minimized_108130_uff_E=1039.75,-5.7,2.122,1.546
5cir_minimized_108130_uff_E=1039.75,-5.7,4.706,2.419
5cir_minimized_12313376_uff_E=1227.08,-7.5,0.0,0.0
5cir_minimized_12313376_uff_E=1227.08,-7.1,4.16,2.275
5cir_minimized_12313376_uff_E=1227.08,-7.0,8.954,3.811
5cir_minimized_12313376_uff_E=1227.08,-6.9,8.227,3.192
5cir_minimized_12313376_uff_E=1227.08,-6.8,27.74,23.999
5cir_minimized_12313376_uff_E=1227.08,-6.7,13.629,8.361
5cir_minimized_12313376_uff_E=1227.08,-6.6,27.174,24.006
5cir_minimized_12313376_uff_E=1227.08,-6.5,9.325,7.435
