Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4aq3_minimized_10071695_uff_E=389.38,-7.2,0.0,0.0
4aq3_minimized_10071695_uff_E=389.38,-7.2,2.754,2.028
4aq3_minimized_10071695_uff_E=389.38,-7.2,19.267,15.667
4aq3_minimized_10071695_uff_E=389.38,-7.1,18.531,15.625
4aq3_minimized_10071695_uff_E=389.38,-6.9,11.637,7.497
4aq3_minimized_10071695_uff_E=389.38,-6.9,11.833,7.593
4aq3_minimized_10071695_uff_E=389.38,-6.9,17.266,15.552
4aq3_minimized_10071695_uff_E=389.38,-6.9,18.878,15.562
4aq3_minimized_10071695_uff_E=389.38,-6.6,20.227,16.124
4aq3_minimized_10225_uff_E=180.68,-7.7,0.0,0.0
4aq3_minimized_10225_uff_E=180.68,-7.6,4.039,0.987
4aq3_minimized_10225_uff_E=180.68,-7.4,4.069,1.262
4aq3_minimized_10225_uff_E=180.68,-6.9,4.781,2.322
4aq3_minimized_10225_uff_E=180.68,-6.5,3.245,1.742
4aq3_minimized_10225_uff_E=180.68,-6.5,17.599,15.472
4aq3_minimized_10225_uff_E=180.68,-6.4,4.235,1.785
4aq3_minimized_10225_uff_E=180.68,-6.2,3.564,1.733
4aq3_minimized_10225_uff_E=180.68,-6.0,18.224,17.565
4aq3_minimized_10455912_uff_E=637.99,-7.8,0.0,0.0
4aq3_minimized_10455912_uff_E=637.99,-7.8,9.097,0.198
4aq3_minimized_10455912_uff_E=637.99,-7.3,19.406,17.342
4aq3_minimized_10455912_uff_E=637.99,-7.3,19.931,16.731
4aq3_minimized_10455912_uff_E=637.99,-7.2,21.013,17.19
4aq3_minimized_10455912_uff_E=637.99,-7.0,15.348,12.247
4aq3_minimized_10455912_uff_E=637.99,-6.8,19.178,16.975
4aq3_minimized_10455912_uff_E=637.99,-6.8,7.346,1.196
4aq3_minimized_10455912_uff_E=637.99,-6.7,5.571,1.2
4aq3_minimized_108130_uff_E=1039.75,-6.6,0.0,0.0
4aq3_minimized_108130_uff_E=1039.75,-6.3,2.083,1.634
4aq3_minimized_108130_uff_E=1039.75,-6.2,5.339,2.595
4aq3_minimized_108130_uff_E=1039.75,-6.1,7.177,2.031
4aq3_minimized_108130_uff_E=1039.75,-5.8,5.313,2.794
4aq3_minimized_108130_uff_E=1039.75,-5.8,11.978,8.671
4aq3_minimized_108130_uff_E=1039.75,-5.8,18.178,15.797
4aq3_minimized_108130_uff_E=1039.75,-5.7,17.936,15.478
4aq3_minimized_108130_uff_E=1039.75,-5.7,13.321,8.64
4aq3_minimized_12313376_uff_E=1227.08,-7.3,0.0,0.0
4aq3_minimized_12313376_uff_E=1227.08,-7.2,7.2,2.193
4aq3_minimized_12313376_uff_E=1227.08,-7.2,9.573,4.969
4aq3_minimized_12313376_uff_E=1227.08,-7.2,7.063,3.079
4aq3_minimized_12313376_uff_E=1227.08,-7.0,18.056,15.934
4aq3_minimized_12313376_uff_E=1227.08,-6.8,7.094,2.496
4aq3_minimized_12313376_uff_E=1227.08,-6.7,17.725,14.782
4aq3_minimized_12313376_uff_E=1227.08,-6.6,24.194,20.528
4aq3_minimized_12313376_uff_E=1227.08,-6.5,9.956,6.233
4aq3_minimized_135398513_uff_E=384.11,-4.9,0.0,0.0
4aq3_minimized_135398513_uff_E=384.11,-4.9,4.142,2.164
4aq3_minimized_135398513_uff_E=384.11,-4.7,11.873,9.98
4aq3_minimized_135398513_uff_E=384.11,-4.6,10.742,8.489
4aq3_minimized_135398513_uff_E=384.11,-4.5,4.331,2.644
4aq3_minimized_135398513_uff_E=384.11,-4.4,11.206,9.198
4aq3_minimized_135398513_uff_E=384.11,-4.4,15.979,14.632
4aq3_minimized_135398513_uff_E=384.11,-4.4,25.817,24.569
4aq3_minimized_135398513_uff_E=384.11,-4.4,19.101,17.536
4aq3_minimized_135398739_uff_E=576.04,-5.9,0.0,0.0
4aq3_minimized_135398739_uff_E=576.04,-5.8,3.997,3.068
4aq3_minimized_135398739_uff_E=576.04,-5.8,3.874,2.549
4aq3_minimized_135398739_uff_E=576.04,-5.7,19.17,17.428
4aq3_minimized_135398739_uff_E=576.04,-5.4,19.334,17.238
4aq3_minimized_135398739_uff_E=576.04,-5.4,12.184,10.011
4aq3_minimized_135398739_uff_E=576.04,-5.2,20.432,17.271
4aq3_minimized_135398739_uff_E=576.04,-5.2,19.22,17.434
4aq3_minimized_135398739_uff_E=576.04,-5.2,18.493,17.172
4aq3_minimized_148192_uff_E=664.93,-6.7,0.0,0.0
4aq3_minimized_148192_uff_E=664.93,-6.7,3.346,2.127
4aq3_minimized_148192_uff_E=664.93,-6.6,2.97,2.046
4aq3_minimized_148192_uff_E=664.93,-6.6,3.77,1.586
4aq3_minimized_148192_uff_E=664.93,-6.6,9.214,3.297
4aq3_minimized_148192_uff_E=664.93,-6.5,10.012,5.011
4aq3_minimized_148192_uff_E=664.93,-6.4,2.136,1.432
4aq3_minimized_148192_uff_E=664.93,-6.3,9.637,4.537
4aq3_minimized_148192_uff_E=664.93,-6.3,10.225,5.113
4aq3_minimized_14982_uff_E=1189.01,-7.8,0.0,0.0
4aq3_minimized_14982_uff_E=1189.01,-7.3,7.26,5.213
4aq3_minimized_14982_uff_E=1189.01,-7.3,4.47,1.512
4aq3_minimized_14982_uff_E=1189.01,-7.2,20.379,13.713
4aq3_minimized_14982_uff_E=1189.01,-7.1,21.709,15.64
4aq3_minimized_14982_uff_E=1189.01,-7.1,22.651,15.983
4aq3_minimized_14982_uff_E=1189.01,-7.0,11.048,5.755
4aq3_minimized_14982_uff_E=1189.01,-6.9,21.783,14.764
4aq3_minimized_14982_uff_E=1189.01,-6.8,9.763,6.789
4aq3_minimized_15144051_uff_E=260.17,-5.6,0.0,0.0
4aq3_minimized_15144051_uff_E=260.17,-5.2,4.238,1.551
4aq3_minimized_15144051_uff_E=260.17,-4.9,3.698,1.603
4aq3_minimized_15144051_uff_E=260.17,-4.8,3.23,1.139
4aq3_minimized_15144051_uff_E=260.17,-4.8,18.099,17.167
