Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-6.5,0.0,0.0
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-6.0,15.024,12.591
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-6.0,4.79,3.06
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-6.0,14.685,12.182
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-6.0,16.436,12.922
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-5.9,13.018,12.089
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-5.8,7.487,5.026
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-5.8,10.194,3.785
1z2m_minimized_2353_uff_E=472.01_uff_E=471.80,-5.8,13.774,11.904
1z2m_minimized_3663_uff_E=1121.67,-7.8,0.0,0.0
1z2m_minimized_3663_uff_E=1121.67,-7.6,11.784,7.59
1z2m_minimized_3663_uff_E=1121.67,-7.5,21.286,17.09
1z2m_minimized_3663_uff_E=1121.67,-7.5,20.444,16.971
1z2m_minimized_3663_uff_E=1121.67,-7.5,2.136,0.986
1z2m_minimized_3663_uff_E=1121.67,-7.4,20.371,17.253
1z2m_minimized_3663_uff_E=1121.67,-7.3,9.521,5.407
1z2m_minimized_3663_uff_E=1121.67,-7.3,17.654,14.518
1z2m_minimized_3663_uff_E=1121.67,-7.3,23.386,20.246
1z2m_minimized_4463_uff_E=1805.99,-6.0,0.0,0.0
1z2m_minimized_4463_uff_E=1805.99,-5.8,5.638,2.045
1z2m_minimized_4463_uff_E=1805.99,-5.8,5.585,1.928
1z2m_minimized_4463_uff_E=1805.99,-5.8,4.712,1.123
1z2m_minimized_4463_uff_E=1805.99,-5.6,3.71,1.949
1z2m_minimized_4463_uff_E=1805.99,-5.6,4.114,1.781
1z2m_minimized_4463_uff_E=1805.99,-5.6,12.589,11.313
1z2m_minimized_4463_uff_E=1805.99,-5.5,10.754,8.415
1z2m_minimized_4463_uff_E=1805.99,-5.5,5.969,1.952
1z2m_minimized_5625_uff_E=1168.32,-7.4,0.0,0.0
1z2m_minimized_5625_uff_E=1168.32,-6.9,10.647,7.667
1z2m_minimized_5625_uff_E=1168.32,-6.9,12.966,9.403
1z2m_minimized_5625_uff_E=1168.32,-6.9,10.361,7.604
1z2m_minimized_5625_uff_E=1168.32,-6.8,2.681,1.23
1z2m_minimized_5625_uff_E=1168.32,-6.7,11.041,8.09
