Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-7.1,0.0,0.0
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-7.0,68.905,64.652
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-6.9,26.459,24.6
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-6.6,29.334,26.935
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-6.6,27.603,24.853
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-6.5,47.348,44.149
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-6.4,71.761,66.821
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-6.3,57.449,54.419
3szr_minimization_2353_uff_E=472.01_uff_E=471.80,-6.2,57.59,54.457
3szr_minimization_3663_uff_E=1121.67,-9.1,0.0,0.0
3szr_minimization_3663_uff_E=1121.67,-9.1,5.924,1.605
3szr_minimization_3663_uff_E=1121.67,-8.9,16.917,13.425
3szr_minimization_3663_uff_E=1121.67,-8.6,88.222,86.554
3szr_minimization_3663_uff_E=1121.67,-8.4,18.31,15.152
3szr_minimization_3663_uff_E=1121.67,-8.1,17.452,14.231
3szr_minimization_3663_uff_E=1121.67,-7.9,83.904,81.01
3szr_minimization_3663_uff_E=1121.67,-7.8,84.06,80.985
3szr_minimization_3663_uff_E=1121.67,-7.8,30.763,28.89
3szr_minimization_4463_uff_E=1805.99,-7.0,0.0,0.0
3szr_minimization_4463_uff_E=1805.99,-6.8,67.82,66.709
3szr_minimization_4463_uff_E=1805.99,-6.2,57.88,55.05
3szr_minimization_4463_uff_E=1805.99,-6.0,57.709,54.732
3szr_minimization_4463_uff_E=1805.99,-5.9,58.659,55.752
3szr_minimization_4463_uff_E=1805.99,-5.8,2.237,1.525
3szr_minimization_4463_uff_E=1805.99,-5.6,90.131,89.044
3szr_minimization_4463_uff_E=1805.99,-5.6,78.277,76.908
3szr_minimization_4463_uff_E=1805.99,-5.6,57.503,54.462
3szr_minimization_5625_uff_E=1168.32,-6.8,0.0,0.0
3szr_minimization_5625_uff_E=1168.32,-6.6,24.818,23.085
3szr_minimization_5625_uff_E=1168.32,-6.4,31.384,28.354
3szr_minimization_5625_uff_E=1168.32,-6.3,30.564,26.772
3szr_minimization_5625_uff_E=1168.32,-6.3,54.605,51.15
3szr_minimization_5625_uff_E=1168.32,-6.2,22.615,18.374
3szr_minimization_5625_uff_E=1168.32,-6.2,79.508,75.04
3szr_minimization_5625_uff_E=1168.32,-6.0,26.409,22.944
3szr_minimization_5625_uff_E=1168.32,-5.9,91.457,88.414
3szr_minimization_10225_uff_E=180.68,-6.4,0.0,0.0
3szr_minimization_10225_uff_E=180.68,-6.4,52.469,49.141
3szr_minimization_10225_uff_E=180.68,-6.2,12.722,11.488
3szr_minimization_10225_uff_E=180.68,-6.0,51.565,49.179
3szr_minimization_10225_uff_E=180.68,-5.8,12.91,11.809
3szr_minimization_10225_uff_E=180.68,-5.8,50.341,47.538
3szr_minimization_10225_uff_E=180.68,-5.8,52.292,49.063
3szr_minimization_10225_uff_E=180.68,-5.7,19.169,15.191
3szr_minimization_10225_uff_E=180.68,-5.7,27.66,24.194
3szr_minimization_14982_uff_E=1189.01,-8.9,0.0,0.0
3szr_minimization_14982_uff_E=1189.01,-8.9,2.506,1.737
3szr_minimization_14982_uff_E=1189.01,-8.8,4.513,1.314
3szr_minimization_14982_uff_E=1189.01,-8.5,92.79,88.961
3szr_minimization_14982_uff_E=1189.01,-8.5,77.304,73.698
3szr_minimization_14982_uff_E=1189.01,-8.4,75.608,68.264
3szr_minimization_14982_uff_E=1189.01,-7.9,78.149,74.807
3szr_minimization_14982_uff_E=1189.01,-7.9,92.495,88.198
3szr_minimization_14982_uff_E=1189.01,-7.7,94.133,88.555
3szr_minimization_35370_uff_E=421.42,-6.3,0.0,0.0
3szr_minimization_35370_uff_E=421.42,-6.0,50.845,47.463
3szr_minimization_35370_uff_E=421.42,-5.9,51.209,47.476
3szr_minimization_35370_uff_E=421.42,-5.9,2.217,1.96
3szr_minimization_35370_uff_E=421.42,-5.8,51.061,47.477
3szr_minimization_35370_uff_E=421.42,-5.7,79.043,75.997
3szr_minimization_35370_uff_E=421.42,-5.7,79.958,78.09
3szr_minimization_35370_uff_E=421.42,-5.6,77.996,74.61
3szr_minimization_35370_uff_E=421.42,-5.4,50.866,49.097
3szr_minimization_60825_uff_E=215.22,-5.8,0.0,0.0
3szr_minimization_60825_uff_E=215.22,-5.2,49.559,47.155
3szr_minimization_60825_uff_E=215.22,-5.2,67.712,66.001
3szr_minimization_60825_uff_E=215.22,-5.2,78.912,76.622
3szr_minimization_60825_uff_E=215.22,-5.1,78.688,76.987
3szr_minimization_60825_uff_E=215.22,-4.9,48.198,46.342
3szr_minimization_60825_uff_E=215.22,-4.8,48.981,46.564
3szr_minimization_60825_uff_E=215.22,-4.8,50.64,49.106
3szr_minimization_60825_uff_E=215.22,-4.6,76.928,74.721
3szr_minimization_60877_uff_E=210.66,-5.5,0.0,0.0
3szr_minimization_60877_uff_E=210.66,-5.2,40.538,39.244
3szr_minimization_60877_uff_E=210.66,-5.2,41.916,41.132
3szr_minimization_60877_uff_E=210.66,-5.1,18.241,16.091
3szr_minimization_60877_uff_E=210.66,-4.8,23.222,22.313
3szr_minimization_60877_uff_E=210.66,-4.5,35.472,34.34
3szr_minimization_60877_uff_E=210.66,-4.5,25.45,24.319
3szr_minimization_60877_uff_E=210.66,-4.5,30.355,29.132
3szr_minimization_60877_uff_E=210.66,-4.5,35.829,33.939
3szr_minimization_64139_uff_E=1439.00,-7.8,0.0,0.0
3szr_minimization_64139_uff_E=1439.00,-6.4,93.09,91.859
3szr_minimization_64139_uff_E=1439.00,-6.1,3.533,2.889
3szr_minimization_64139_uff_E=1439.00,-6.0,51.506,49.605
3szr_minimization_64139_uff_E=1439.00,-6.0,74.969,73.814
3szr_minimization_64139_uff_E=1439.00,-5.9,67.598,66.046
3szr_minimization_64139_uff_E=1439.00,-5.9,76.3,74.529
3szr_minimization_64139_uff_E=1439.00,-5.8,92.455,91.26
3szr_minimization_64139_uff_E=1439.00,-5.7,19.997,17.299
3szr_minimization_64143_uff_E=884.85,-7.7,0.0,0.0
3szr_minimization_64143_uff_E=884.85,-7.5,24.801,20.388
3szr_minimization_64143_uff_E=884.85,-7.3,28.71,25.361
3szr_minimization_64143_uff_E=884.85,-7.2,29.466,26.921
3szr_minimization_64143_uff_E=884.85,-7.1,28.647,25.062
3szr_minimization_64143_uff_E=884.85,-7.0,25.503,20.062
3szr_minimization_64143_uff_E=884.85,-7.0,29.324,27.19
3szr_minimization_64143_uff_E=884.85,-6.9,28.973,26.572
3szr_minimization_64143_uff_E=884.85,-6.8,6.279,2.691
3szr_minimization_64945_uff_E=989.07,-8.3,0.0,0.0
3szr_minimization_64945_uff_E=989.07,-8.0,32.46,29.049
3szr_minimization_64945_uff_E=989.07,-7.9,32.705,29.926
3szr_minimization_64945_uff_E=989.07,-7.8,32.999,29.899
3szr_minimization_64945_uff_E=989.07,-7.8,8.438,1.829
3szr_minimization_64945_uff_E=989.07,-7.6,43.935,41.849
3szr_minimization_64945_uff_E=989.07,-7.4,26.279,23.887
3szr_minimization_64945_uff_E=989.07,-7.2,33.088,30.103
3szr_minimization_64945_uff_E=989.07,-7.2,22.688,20.38
3szr_minimization_64971_uff_E=838.46,-7.8,0.0,0.0
3szr_minimization_64971_uff_E=838.46,-7.5,67.347,64.481
3szr_minimization_64971_uff_E=838.46,-7.3,46.352,43.622
3szr_minimization_64971_uff_E=838.46,-7.2,67.764,64.699
3szr_minimization_64971_uff_E=838.46,-6.8,88.288,85.544
3szr_minimization_64971_uff_E=838.46,-6.8,21.324,18.648
3szr_minimization_64971_uff_E=838.46,-6.7,70.703,67.751
3szr_minimization_64971_uff_E=838.46,-6.7,116.093,113.638
3szr_minimization_64971_uff_E=838.46,-6.6,3.169,1.939
3szr_minimization_64981_uff_E=529.29,-6.5,0.0,0.0
3szr_minimization_64981_uff_E=529.29,-6.5,2.071,1.591
3szr_minimization_64981_uff_E=529.29,-5.9,43.167,40.089
3szr_minimization_64981_uff_E=529.29,-5.8,31.411,26.841
3szr_minimization_64981_uff_E=529.29,-5.7,24.01,21.016
3szr_minimization_64981_uff_E=529.29,-5.7,43.618,40.544
3szr_minimization_64981_uff_E=529.29,-5.5,31.505,27.852
3szr_minimization_64981_uff_E=529.29,-5.5,44.43,41.657
3szr_minimization_64981_uff_E=529.29,-5.5,23.755,20.811
3szr_minimization_64982_uff_E=416.89,-9.0,0.0,0.0
3szr_minimization_64982_uff_E=416.89,-8.7,2.732,1.449
3szr_minimization_64982_uff_E=416.89,-8.3,3.194,1.657
3szr_minimization_64982_uff_E=416.89,-8.1,30.308,28.02
3szr_minimization_64982_uff_E=416.89,-7.9,26.352,23.535
3szr_minimization_64982_uff_E=416.89,-7.8,28.553,25.861
3szr_minimization_64982_uff_E=416.89,-7.8,29.242,25.986
3szr_minimization_64982_uff_E=416.89,-7.7,28.573,25.82
3szr_minimization_64982_uff_E=416.89,-7.6,50.546,47.462
3szr_minimization_73204_uff_E=448.24,-7.5,0.0,0.0
3szr_minimization_73204_uff_E=448.24,-7.2,7.151,2.343
3szr_minimization_73204_uff_E=448.24,-7.0,12.206,8.581
3szr_minimization_73204_uff_E=448.24,-7.0,7.388,2.598
3szr_minimization_73204_uff_E=448.24,-6.7,12.92,8.941
3szr_minimization_73204_uff_E=448.24,-6.7,50.616,47.91
3szr_minimization_73204_uff_E=448.24,-6.7,21.726,17.803
3szr_minimization_73204_uff_E=448.24,-6.6,5.833,3.542
3szr_minimization_73204_uff_E=448.24,-6.5,38.689,34.196
3szr_minimization_73641_uff_E=1015.47,-7.6,0.0,0.0
3szr_minimization_73641_uff_E=1015.47,-7.6,45.057,42.223
3szr_minimization_73641_uff_E=1015.47,-7.5,3.506,2.286
3szr_minimization_73641_uff_E=1015.47,-7.4,46.281,43.51
3szr_minimization_73641_uff_E=1015.47,-7.2,25.792,22.926
3szr_minimization_73641_uff_E=1015.47,-7.1,8.717,2.012
3szr_minimization_73641_uff_E=1015.47,-6.7,30.643,28.767
3szr_minimization_73641_uff_E=1015.47,-6.7,21.907,19.72
3szr_minimization_73641_uff_E=1015.47,-6.6,30.966,28.035
3szr_minimization_91466_uff_E=514.36,-6.7,0.0,0.0
3szr_minimization_91466_uff_E=514.36,-6.6,50.075,47.864
3szr_minimization_91466_uff_E=514.36,-6.1,50.427,48.132
3szr_minimization_91466_uff_E=514.36,-5.8,42.181,40.465
3szr_minimization_91466_uff_E=514.36,-5.7,26.448,25.45
3szr_minimization_91466_uff_E=514.36,-5.6,43.981,42.442
3szr_minimization_91466_uff_E=514.36,-5.5,42.466,40.81
3szr_minimization_91466_uff_E=514.36,-5.4,23.825,21.159
3szr_minimization_91466_uff_E=514.36,-5.3,26.578,25.375
3szr_minimization_92727_uff_E=686.30,-8.1,0.0,0.0
3szr_minimization_92727_uff_E=686.30,-8.0,25.379,22.299
3szr_minimization_92727_uff_E=686.30,-8.0,27.313,23.664
3szr_minimization_92727_uff_E=686.30,-7.9,25.487,21.742
3szr_minimization_92727_uff_E=686.30,-7.9,3.495,1.734
3szr_minimization_92727_uff_E=686.30,-7.8,29.385,26.775
3szr_minimization_92727_uff_E=686.30,-7.7,25.619,20.244
3szr_minimization_92727_uff_E=686.30,-7.6,26.251,20.54
3szr_minimization_92727_uff_E=686.30,-7.5,19.847,15.351
3szr_minimization_92776_uff_E=175.95,-6.3,0.0,0.0
3szr_minimization_92776_uff_E=175.95,-6.0,4.165,1.706
3szr_minimization_92776_uff_E=175.95,-5.9,4.548,1.2
3szr_minimization_92776_uff_E=175.95,-5.6,28.763,27.199
3szr_minimization_92776_uff_E=175.95,-5.5,28.795,27.119
3szr_minimization_92776_uff_E=175.95,-5.3,28.943,27.368
3szr_minimization_92776_uff_E=175.95,-5.2,18.998,15.572
3szr_minimization_92776_uff_E=175.95,-5.1,28.487,27.14
3szr_minimization_92776_uff_E=175.95,-5.1,29.094,27.552
3szr_minimization_108130_uff_E=1039.75,-6.3,0.0,0.0
3szr_minimization_108130_uff_E=1039.75,-6.2,74.717,71.662
3szr_minimization_108130_uff_E=1039.75,-5.8,31.005,28.442
3szr_minimization_108130_uff_E=1039.75,-5.8,30.887,28.601
3szr_minimization_108130_uff_E=1039.75,-5.6,77.297,74.271
3szr_minimization_108130_uff_E=1039.75,-5.6,76.992,72.912
3szr_minimization_108130_uff_E=1039.75,-5.5,50.573,46.95
3szr_minimization_108130_uff_E=1039.75,-5.5,75.445,71.237
3szr_minimization_108130_uff_E=1039.75,-5.5,47.515,44.194
3szr_minimization_148192_uff_E=664.93,-7.5,0.0,0.0
3szr_minimization_148192_uff_E=664.93,-7.4,32.048,28.299
3szr_minimization_148192_uff_E=664.93,-7.2,31.945,27.902
3szr_minimization_148192_uff_E=664.93,-7.0,2.49,1.504
3szr_minimization_148192_uff_E=664.93,-6.9,2.297,1.652
3szr_minimization_148192_uff_E=664.93,-6.8,17.38,12.876
3szr_minimization_148192_uff_E=664.93,-6.5,16.713,11.973
3szr_minimization_148192_uff_E=664.93,-6.4,2.794,1.974
3szr_minimization_148192_uff_E=664.93,-6.4,8.858,3.166
3szr_minimization_190453_uff_E=772.09,-8.9,0.0,0.0
3szr_minimization_190453_uff_E=772.09,-8.7,30.174,28.177
3szr_minimization_190453_uff_E=772.09,-8.4,2.072,1.381
3szr_minimization_190453_uff_E=772.09,-8.2,57.754,55.428
3szr_minimization_190453_uff_E=772.09,-8.2,2.48,1.462
3szr_minimization_190453_uff_E=772.09,-8.2,30.139,28.278
3szr_minimization_190453_uff_E=772.09,-8.1,23.814,20.753
3szr_minimization_190453_uff_E=772.09,-8.0,27.298,25.338
3szr_minimization_190453_uff_E=772.09,-7.8,34.598,31.51
3szr_minimization_213039_uff_E=1026.36,-7.6,0.0,0.0
3szr_minimization_213039_uff_E=1026.36,-7.1,50.147,44.67
3szr_minimization_213039_uff_E=1026.36,-7.0,6.007,2.852
3szr_minimization_213039_uff_E=1026.36,-6.8,23.368,20.009
3szr_minimization_213039_uff_E=1026.36,-6.7,6.017,2.668
3szr_minimization_213039_uff_E=1026.36,-6.7,35.252,31.28
3szr_minimization_213039_uff_E=1026.36,-6.7,17.193,14.056
3szr_minimization_213039_uff_E=1026.36,-6.7,35.081,31.631
3szr_minimization_213039_uff_E=1026.36,-6.6,35.672,31.602
3szr_minimization_222284_uff_E=685.30,-7.8,0.0,0.0
3szr_minimization_222284_uff_E=685.30,-7.0,9.642,3.633
3szr_minimization_222284_uff_E=685.30,-6.8,57.477,54.218
3szr_minimization_222284_uff_E=685.30,-6.6,67.277,64.597
3szr_minimization_222284_uff_E=685.30,-6.6,90.8,88.289
3szr_minimization_222284_uff_E=685.30,-6.5,20.852,17.726
3szr_minimization_222284_uff_E=685.30,-6.5,21.161,17.192
3szr_minimization_222284_uff_E=685.30,-6.4,91.81,89.61
3szr_minimization_222284_uff_E=685.30,-6.3,57.096,54.096
3szr_minimization_392622_uff_E=1086.08,-7.9,0.0,0.0
3szr_minimization_392622_uff_E=1086.08,-7.9,2.315,1.399
3szr_minimization_392622_uff_E=1086.08,-7.4,9.562,4.746
3szr_minimization_392622_uff_E=1086.08,-7.2,8.154,4.474
3szr_minimization_392622_uff_E=1086.08,-6.9,12.504,6.074
3szr_minimization_392622_uff_E=1086.08,-6.8,6.399,4.234
3szr_minimization_392622_uff_E=1086.08,-6.7,12.718,6.964
3szr_minimization_392622_uff_E=1086.08,-6.7,29.228,23.763
3szr_minimization_392622_uff_E=1086.08,-6.6,29.571,24.947
3szr_minimization_441243_uff_E=910.05,-9.0,0.0,0.0
3szr_minimization_441243_uff_E=910.05,-8.7,8.079,4.819
3szr_minimization_441243_uff_E=910.05,-8.5,31.026,26.719
3szr_minimization_441243_uff_E=910.05,-8.4,7.627,4.826
3szr_minimization_441243_uff_E=910.05,-8.3,8.016,3.962
3szr_minimization_441243_uff_E=910.05,-8.3,7.907,4.837
3szr_minimization_441243_uff_E=910.05,-8.3,8.481,4.985
3szr_minimization_441243_uff_E=910.05,-8.2,6.98,4.876
3szr_minimization_441243_uff_E=910.05,-8.1,11.972,6.736
3szr_minimization_441300_uff_E=1814.10,-6.8,0.0,0.0
3szr_minimization_441300_uff_E=1814.10,-6.7,29.039,27.507
3szr_minimization_441300_uff_E=1814.10,-6.5,2.032,1.721
3szr_minimization_441300_uff_E=1814.10,-6.4,31.182,28.562
3szr_minimization_441300_uff_E=1814.10,-6.4,7.923,4.12
3szr_minimization_441300_uff_E=1814.10,-6.3,3.771,2.355
3szr_minimization_441300_uff_E=1814.10,-6.1,54.675,52.821
3szr_minimization_441300_uff_E=1814.10,-6.1,8.432,4.663
3szr_minimization_441300_uff_E=1814.10,-5.9,53.095,51.331
3szr_minimization_443716_uff_E=707.50,-8.1,0.0,0.0
3szr_minimization_443716_uff_E=707.50,-7.8,33.039,30.005
3szr_minimization_443716_uff_E=707.50,-7.7,23.654,22.017
3szr_minimization_443716_uff_E=707.50,-7.5,31.235,29.449
3szr_minimization_443716_uff_E=707.50,-7.5,41.813,38.084
3szr_minimization_443716_uff_E=707.50,-7.5,39.863,36.043
3szr_minimization_443716_uff_E=707.50,-7.3,60.217,54.986
3szr_minimization_443716_uff_E=707.50,-7.3,41.444,37.227
3szr_minimization_443716_uff_E=707.50,-7.2,29.162,27.671
3szr_minimization_444972_uff_E=22.84,-4.6,0.0,0.0
3szr_minimization_444972_uff_E=22.84,-4.4,23.248,21.961
3szr_minimization_444972_uff_E=22.84,-4.4,23.597,21.948
3szr_minimization_444972_uff_E=22.84,-4.3,71.442,70.76
3szr_minimization_444972_uff_E=22.84,-4.2,14.617,13.166
3szr_minimization_444972_uff_E=22.84,-4.2,71.511,70.757
3szr_minimization_444972_uff_E=22.84,-4.0,25.309,24.116
3szr_minimization_444972_uff_E=22.84,-4.0,28.698,27.988
3szr_minimization_444972_uff_E=22.84,-4.0,56.787,55.95
3szr_minimization_445154_uff_E=152.12,-7.2,0.0,0.0
3szr_minimization_445154_uff_E=152.12,-6.7,28.248,22.734
3szr_minimization_445154_uff_E=152.12,-6.4,37.512,33.309
3szr_minimization_445154_uff_E=152.12,-6.4,22.778,19.264
3szr_minimization_445154_uff_E=152.12,-6.4,19.087,18.476
3szr_minimization_445154_uff_E=152.12,-6.4,37.623,33.42
3szr_minimization_445154_uff_E=152.12,-6.1,46.993,45.314
3szr_minimization_445154_uff_E=152.12,-5.9,26.357,24.972
3szr_minimization_445154_uff_E=152.12,-5.8,29.673,24.293
3szr_minimization_969516_uff_E=234.87,-6.3,0.0,0.0
3szr_minimization_969516_uff_E=234.87,-6.1,14.521,7.577
3szr_minimization_969516_uff_E=234.87,-6.0,49.476,46.242
3szr_minimization_969516_uff_E=234.87,-5.9,71.136,68.119
3szr_minimization_969516_uff_E=234.87,-5.8,65.652,61.526
3szr_minimization_969516_uff_E=234.87,-5.8,15.838,12.473
3szr_minimization_969516_uff_E=234.87,-5.7,18.213,13.055
3szr_minimization_969516_uff_E=234.87,-5.7,22.853,19.98
3szr_minimization_969516_uff_E=234.87,-5.6,14.425,10.765
3szr_minimization_1794427_uff_E=402.31,-7.2,0.0,0.0
3szr_minimization_1794427_uff_E=402.31,-6.9,2.188,1.652
3szr_minimization_1794427_uff_E=402.31,-6.6,32.141,29.656
3szr_minimization_1794427_uff_E=402.31,-6.3,34.687,32.074
3szr_minimization_1794427_uff_E=402.31,-6.0,17.916,14.695
3szr_minimization_1794427_uff_E=402.31,-5.9,27.871,25.946
3szr_minimization_1794427_uff_E=402.31,-5.8,9.006,5.699
3szr_minimization_1794427_uff_E=402.31,-5.8,29.586,27.28
3szr_minimization_1794427_uff_E=402.31,-5.8,29.977,27.934
3szr_minimization_5277135_uff_E=444.79,-6.7,0.0,0.0
3szr_minimization_5277135_uff_E=444.79,-6.7,20.446,16.769
3szr_minimization_5277135_uff_E=444.79,-6.4,23.107,19.92
3szr_minimization_5277135_uff_E=444.79,-6.4,45.394,42.876
3szr_minimization_5277135_uff_E=444.79,-6.4,20.466,17.144
3szr_minimization_5277135_uff_E=444.79,-6.4,37.598,35.642
3szr_minimization_5277135_uff_E=444.79,-6.2,44.36,42.197
3szr_minimization_5277135_uff_E=444.79,-6.1,44.341,41.086
3szr_minimization_5277135_uff_E=444.79,-6.0,48.366,44.848
3szr_minimization_5280343_uff_E=233.55,-7.8,0.0,0.0
3szr_minimization_5280343_uff_E=233.55,-7.4,3.025,1.243
3szr_minimization_5280343_uff_E=233.55,-6.8,79.667,77.928
3szr_minimization_5280343_uff_E=233.55,-6.8,78.8,75.219
3szr_minimization_5280343_uff_E=233.55,-6.7,79.793,77.952
3szr_minimization_5280343_uff_E=233.55,-6.6,50.619,47.668
3szr_minimization_5280343_uff_E=233.55,-6.5,45.984,41.681
3szr_minimization_5280343_uff_E=233.55,-6.5,77.518,75.032
3szr_minimization_5280343_uff_E=233.55,-6.3,91.376,89.644
3szr_minimization_5280443_uff_E=193.94,-6.9,0.0,0.0
3szr_minimization_5280443_uff_E=193.94,-6.8,12.537,11.737
3szr_minimization_5280443_uff_E=193.94,-6.7,9.876,5.831
3szr_minimization_5280443_uff_E=193.94,-6.6,7.355,4.863
3szr_minimization_5280443_uff_E=193.94,-6.4,52.455,51.652
3szr_minimization_5280443_uff_E=193.94,-6.3,8.711,4.148
3szr_minimization_5280443_uff_E=193.94,-6.2,30.035,27.384
3szr_minimization_5280443_uff_E=193.94,-6.2,71.13,70.047
3szr_minimization_5280443_uff_E=193.94,-6.2,25.897,24.151
3szr_minimization_5280445_uff_E=200.29,-7.7,0.0,0.0
3szr_minimization_5280445_uff_E=200.29,-7.6,6.813,2.158
