Ligand,Binding Affinity,rmsd/ub, rmsd/lb
1yvl_minimized_439197_uff_E=364.65,-5.7,0,0
1yvl_minimized_439197_uff_E=364.65,-5.6,54.96,53.15
1yvl_minimized_439197_uff_E=364.65,-5.5,37.011,34.499
1yvl_minimized_439197_uff_E=364.65,-5.5,45.32,43.474
1yvl_minimized_439197_uff_E=364.65,-5.5,62.921,61.467
1yvl_minimized_439197_uff_E=364.65,-5.4,5.249,3.425
1yvl_minimized_439197_uff_E=364.65,-5.3,45.085,43.375
1yvl_minimized_439197_uff_E=364.65,-5.3,41.215,38.869
1yvl_minimized_439197_uff_E=364.65,-5.3,4.676,2.121
1yvl_minimized_5280442_uff_E=247.39,-7.1,0,0
1yvl_minimized_5280442_uff_E=247.39,-6.7,60.456,58.509
1yvl_minimized_5280442_uff_E=247.39,-6.6,3.006,2.079
1yvl_minimized_5280442_uff_E=247.39,-6.6,59.66,57.572
1yvl_minimized_5280442_uff_E=247.39,-6.5,57.045,55.625
1yvl_minimized_5280442_uff_E=247.39,-6.5,90.312,86.291
1yvl_minimized_5280442_uff_E=247.39,-6.5,41.057,37.235
1yvl_minimized_5280442_uff_E=247.39,-6.4,15.334,12.927
1yvl_minimized_5280442_uff_E=247.39,-6.1,39.828,37.656
1yvl_minimized_60871_uff_E=794.60,-6.1,0,0
1yvl_minimized_60871_uff_E=794.60,-6.1,63.994,60.915
1yvl_minimized_60871_uff_E=794.60,-6.1,5.935,1.823
1yvl_minimized_60871_uff_E=794.60,-6.1,36.668,34.27
1yvl_minimized_60871_uff_E=794.60,-6,7.254,3.756
1yvl_minimized_60871_uff_E=794.60,-5.9,41.104,37.504
1yvl_minimized_60871_uff_E=794.60,-5.8,23.134,18.66
1yvl_minimized_60871_uff_E=794.60,-5.7,24.065,19.594
1yvl_minimized_60871_uff_E=794.60,-5.7,7.665,4.343
1yvl_minimized_65036_uff_E=111.54,-3.8,0,0
1yvl_minimized_65036_uff_E=111.54,-3.7,4.042,1.272
1yvl_minimized_65036_uff_E=111.54,-3.4,41.679,41.183
1yvl_minimized_65036_uff_E=111.54,-3.4,2.936,1.792
1yvl_minimized_65036_uff_E=111.54,-3.4,69.423,67.283
1yvl_minimized_65036_uff_E=111.54,-3.3,4.711,1.888
1yvl_minimized_65036_uff_E=111.54,-3.3,30.994,30.091
1yvl_minimized_65036_uff_E=111.54,-3.2,49.395,48.169
1yvl_minimized_65036_uff_E=111.54,-3.2,16.098,15.196
1yvl_minimized_5281605_uff_E=241.95,-7.4,0,0
1yvl_minimized_5281605_uff_E=241.95,-7.1,26.873,24.891
1yvl_minimized_5281605_uff_E=241.95,-7.1,89.881,85.953
1yvl_minimized_5281605_uff_E=241.95,-6.8,26.666,25.3
1yvl_minimized_5281605_uff_E=241.95,-6.8,41.944,39.786
1yvl_minimized_5281605_uff_E=241.95,-6.8,35.346,32.62
1yvl_minimized_5281605_uff_E=241.95,-6.6,52.434,50.554
1yvl_minimized_5281605_uff_E=241.95,-6.4,13.158,11.453
1yvl_minimized_5281605_uff_E=241.95,-6.4,41.294,39.109
1yvl_minimized_124081896_uff_E=704.65,-7.9,0,0
1yvl_minimized_124081896_uff_E=704.65,-7.9,66.313,63.595
1yvl_minimized_124081896_uff_E=704.65,-7.7,35.384,31.764
1yvl_minimized_124081896_uff_E=704.65,-7.6,7.921,4.353
1yvl_minimized_124081896_uff_E=704.65,-7.5,65.82,62.983
1yvl_minimized_124081896_uff_E=704.65,-7.3,5.672,2.523
1yvl_minimized_124081896_uff_E=704.65,-7.3,67.33,63.726
1yvl_minimized_124081896_uff_E=704.65,-7.2,32.213,29.732
1yvl_minimized_124081896_uff_E=704.65,-7.2,23.15,18.71
