node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
GABRE,1.0,0.0,1.0,1.0,2.602,1.0,0.25,24.91667,3.32308,0.0,0.0,0.0,
GK,12.0,0.38896,5.0,5.0,6.855,1.0,0.25,30.91667,3.78462,3.52576,20.0,0.6,
FAXDC2,10.0,0.32413,5.0,5.0,6.827,2.0,0.25,30.75,3.76923,24.96138,138.0,0.5,
EBP,2.0,0.30779,2.0,2.0,2.734,1.0,0.25,24.08333,3.18462,0.0,0.0,1.0,
HERC6,1.307674368E12,1.05156,15.0,15.0,19.535,1.0,0.25,37.25,4.06154,0.0,0.0,1.0,
PTPRN2,2.0,0.0,1.0,2.0,2.134,1.0,0.25,24.0,3.18462,19.76347,140.0,0.0,
COBLL1,2.0,0.0,1.0,2.0,1.488,1.0,0.2,21.36667,2.76923,7.42437,14.0,0.0,
PDZK1IP1,4.0,0.30898,3.0,3.0,5.695,1.0,0.25,29.0,3.64615,0.33333,2.0,0.66667,
ITGB1,3851910.0,0.62612,24.0,24.0,21.724,7.0,0.33333,43.66667,4.38462,84.17372,764.0,0.50362,
TYMP,8.7181920028E10,0.7713,18.0,18.0,20.852,1.0,0.25,39.91667,4.21538,43.90845,318.0,0.68627,
CLIC4,25.0,0.56839,4.0,5.0,7.099,1.0,0.25,31.83333,3.86154,8.30442,38.0,0.6,
CR1,363744.0,0.78053,11.0,11.0,15.602,1.0,0.25,35.58333,4.03077,2.92885,26.0,0.83636,
TNS3,123.0,0.52304,6.0,7.0,8.889,2.0,0.33333,33.5,3.96923,19.21045,114.0,0.52381,
REST,48.0,0.58344,5.0,5.0,7.704,1.0,0.33333,33.0,3.98462,1.06575,10.0,0.9,
RETREG1,2.0,0.30779,2.0,2.0,3.803,1.0,0.25,29.0,3.69231,0.0,0.0,1.0,
SMAD7,10806.0,0.67839,10.0,10.0,14.205,1.0,0.33333,36.33333,4.13846,9.38575,116.0,0.75556,
EREG,266.0,0.52483,8.0,8.0,12.719,1.0,0.25,34.75,4.04615,5.70794,50.0,0.64286,
NUSAP1,25.0,0.56839,4.0,5.0,4.59,2.0,0.25,29.91667,3.69231,111.6609,650.0,0.6,
ASPM,25.0,0.56839,4.0,5.0,5.598,1.0,0.25,30.58333,3.75385,7.27946,30.0,0.6,
RAB31,6.0,0.2842,4.0,4.0,5.951,1.0,0.25,29.0,3.61538,3.28192,20.0,0.5,
TGFBI,26195.0,0.48482,18.0,19.0,18.661,4.0,0.33333,41.16667,4.30769,250.64231,1444.0,0.38596,
STK17A,2.0,0.0,1.0,2.0,2.642,1.0,0.2,25.28333,3.30769,1.30362,8.0,0.0,
MEF2C,86628.0,0.62092,15.0,15.0,17.136,1.0,0.33333,39.0,4.23077,37.25901,250.0,0.59048,
ELK4,48.0,0.58344,5.0,5.0,7.55,1.0,0.33333,32.5,3.93846,0.73333,4.0,0.9,
PRRC2C,2.0,0.0,1.0,2.0,3.493,1.0,0.25,26.91667,3.47692,1.05405,4.0,0.0,
